customer_id,name,surname,gender,birthdate,transaction_amount,date,merchant_name,category,year,month,day_name,age
752858,Sean,Rodriguez,F,2002-10-20,35.47,2023-04-03,Smith-Russell,Cosmetic,2023,April,Monday,20
26381,Michelle,Phelps,Unknown,1985-10-24,2552.72,2023-07-17,"Peck, Spence And Young",Travel,2023,July,Monday,37
305449,Jacob,Williams,M,1981-10-25,115.97,2023-09-20,Steele Inc,Clothing,2023,September,Wednesday,41
988259,Nathan,Snyder,M,1977-10-26,11.31,2023-01-11,"Wilson, Wilson And Russell",Cosmetic,2023,January,Wednesday,45
764762,Crystal,Knapp,F,1951-11-02,62.21,2023-06-13,Palmer-Hinton,Electronics,2023,June,Tuesday,71
576539,Monica,Bartlett,F,2001-10-20,99.14,2023-08-24,"Tran, Torres And Joyce",Cosmetic,2023,August,Thursday,21
124681,Thomas,Shaw,Unknown,1976-10-26,145.94,2023-08-30,"Evans, Griffin And Torres",Cosmetic,2023,August,Wednesday,46
521807,Kelsey,Pena,F,1968-10-28,161.39,2023-02-08,Miller Plc,Cosmetic,2023,February,Wednesday,54
504238,Denise,Porter,M,1957-10-31,77.73,2023-01-12,Jackson-Morgan,Restaurant,2023,January,Thursday,65
583532,Alexander,Richardson,F,1974-10-27,142.85,2023-06-07,"Blake, Mays And Anderson",Clothing,2023,June,Wednesday,48
924841,Kimberly,Ball,M,1976-10-26,928.68,2023-02-11,"Miller, Walker And Bond",Travel,2023,February,Saturday,46
123235,Hunter,Peters,M,1971-10-28,387.78,2023-09-24,"Barker, Ortiz And Cox",Market,2023,September,Sunday,51
840546,Julie,Russell,M,1968-10-28,142.07,2023-08-07,Taylor-Morrow,Cosmetic,2023,August,Monday,54
516709,Christopher,Harris,M,2004-10-19,107.44,2023-04-22,Gonzalez-Hunter,Cosmetic,2023,April,Saturday,18
683760,Amber,Brown,M,2004-10-19,54.31,2023-04-10,Underwood-Contreras,Cosmetic,2023,April,Monday,18
777948,Amy,Pierce,F,1966-10-29,79.57,2023-01-05,Rodriguez Ltd,Restaurant,2023,January,Thursday,56
440706,Elizabeth,Barnes,F,1957-10-31,441.18,2023-02-28,Wilson-Zavala,Market,2023,February,Tuesday,65
793150,Chad,Reese,Unknown,1962-10-30,475.82,2023-04-22,Hughes Inc,Market,2023,April,Saturday,60
27213,Michelle,Holden,M,1949-11-02,106.26,2023-05-20,Morris-Foster,Cosmetic,2023,May,Saturday,73
401993,Steven,Smith,M,1999-10-21,1468.14,2023-05-14,"Thompson, Lopez And Mason",Travel,2023,May,Sunday,23
103920,Patrick,Price,M,1977-10-26,40.08,2023-05-28,"Barber, Williamson And Norman",Clothing,2023,May,Sunday,45
943548,Daniel,Pitts,Unknown,1995-10-22,39.87,2023-06-01,Shaw-Elliott,Clothing,2023,June,Thursday,27
178351,Robert,Rice,F,1993-10-22,151.73,2023-06-29,Solis-Washington,Clothing,2023,June,Thursday,29
